,Date,Open,High,Low,Close,Vol.,Change %,tr1,tr2,tr3,tr,atr,close_std,atr_std
114,2020-06-15,175.62,175.98,175.28,175.52,475.61K,-0.03%,0.6999999999999886,0.4099999999999966,0.28999999999999204,0.6999999999999886,0.07561224489795901,1.9326466508190172,0.010300292116486134
115,2020-06-16,175.22,175.58,174.9,175.4,592.82K,-0.07%,0.6800000000000068,0.060000000000002274,0.6200000000000045,0.6800000000000068,0.07382653061224474,2.072835956147489,0.010550823387754319
116,2020-06-17,175.34,175.63,174.8,175.4,596.32K,0.00%,0.8299999999999841,0.22999999999998977,0.5999999999999943,0.8299999999999841,0.07479591836734678,2.175646424085592,0.01061035046683153
117,2020-06-18,175.28,175.76,175.16,175.59,548.60K,0.11%,0.5999999999999943,0.3599999999999852,0.2400000000000091,0.5999999999999943,0.07494897959183658,2.2747661394108456,0.010386751503864559
118,2020-06-19,175.61,175.79,175.3,175.68,383.64K,0.05%,0.4899999999999807,0.19999999999998863,0.28999999999999204,0.4899999999999807,0.07239795918367317,2.3153363508530775,0.009894106760181539
119,2020-06-22,175.74,176.37,175.6,176.11,440.63K,0.24%,0.7700000000000102,0.6899999999999977,0.0800000000000125,0.7700000000000102,0.07377551020408138,2.360730586301248,0.009185321828846005
120,2020-06-23,175.85,176.13,175.45,175.61,559.80K,-0.28%,0.6800000000000068,0.01999999999998181,0.660000000000025,0.6800000000000068,0.0720918367346937,2.2543346524582746,0.00840606367775725
121,2020-06-24,175.53,176.12,175.2,176.01,592.63K,0.23%,0.9200000000000159,0.5099999999999909,0.410000000000025,0.9200000000000159,0.07183673469387748,2.0461397586889003,0.007591911075037906
122,2020-06-25,176.11,176.72,176.09,176.55,526.35K,0.31%,0.6299999999999955,0.710000000000008,0.0800000000000125,0.710000000000008,0.07015306122448979,1.6039431151020394,0.006082309362990525
123,2020-06-26,176.39,176.8,176.32,176.7,399.58K,0.08%,0.4800000000000182,0.25,0.2300000000000182,0.4800000000000182,0.07051020408163276,0.8913753418172649,0.0024858604636927907
124,2020-06-29,176.75,176.86,176.35,176.66,350.34K,-0.02%,0.5100000000000193,0.160000000000025,0.3499999999999943,0.5100000000000193,0.05372448979591852,0.7307383741315874,0.005728301390769468
125,2020-06-30,176.58,176.86,176.16,176.52,534.41K,-0.08%,0.700000000000017,0.20000000000001705,0.5,0.700000000000017,0.052551020408163465,0.5187326059575122,0.007750194679671746
126,2020-07-01,176.15,176.2,175.2,175.29,550.71K,-0.70%,1.0,0.3200000000000216,1.3200000000000216,1.3200000000000216,0.051479591836735,0.5140108392408674,0.009122196489234001
127,2020-07-02,175.19,176.06,175.04,176.01,628.12K,0.41%,1.0200000000000102,0.7700000000000102,0.25,1.0200000000000102,0.053112244897959605,0.5056173465169739,0.009645895817994663
128,2020-07-03,175.98,176.24,175.85,176.02,244.23K,0.01%,0.3900000000000148,0.2300000000000182,0.1599999999999966,0.3900000000000148,0.051530612244898515,0.49173442756504243,0.010163886970974536
129,2020-07-06,175.88,176.15,175.62,175.96,407.43K,-0.03%,0.5300000000000011,0.12999999999999545,0.4000000000000057,0.5300000000000011,0.050765306122449505,0.46398240303879223,0.01056801663038708
130,2020-07-07,176.07,176.3,175.72,175.88,413.70K,-0.05%,0.5800000000000125,0.3400000000000034,0.2400000000000091,0.5800000000000125,0.04948979591836801,0.4322602238222851,0.010712032142670342
131,2020-07-08,176.11,176.37,176.02,176.13,435.17K,0.14%,0.3499999999999943,0.4900000000000091,0.14000000000001478,0.4900000000000091,0.04892857142857217,0.41244979714485924,0.010553560657776198
132,2020-07-09,176.01,176.61,175.96,176.52,443.34K,0.22%,0.6500000000000057,0.4800000000000182,0.1699999999999875,0.6500000000000057,0.04974489795918454,0.4107678417065228,0.010266853906071547
133,2020-07-10,176.41,176.92,176.34,176.63,476.77K,0.06%,0.5799999999999841,0.39999999999997726,0.18000000000000682,0.5799999999999841,0.04877551020408237,0.4307985174503101,0.009565030561838975
134,2020-07-13,176.48,176.49,175.54,175.63,503.25K,-0.57%,0.950000000000017,0.13999999999998636,1.0900000000000034,1.0900000000000034,0.050867346938776224,0.4287991153427271,0.008579994438328551
135,2020-07-14,175.98,176.25,175.74,176.2,476.67K,0.32%,0.5099999999999909,0.6200000000000045,0.11000000000001364,0.6200000000000045,0.04933673469387821,0.42602687837615094,0.007235594639808287
